날짜,경유가격
2023-04-13,1538
2023-04-14,1541
2023-04-15,1542
2023-04-16,1543
2023-04-17,1545
2023-04-18,1547
2023-04-19,1547
2023-04-20,1547
2023-04-21,1546
2023-04-22,1545
2023-04-23,1544
2023-04-24,1544
2023-04-25,1542
2023-04-26,1540
2023-04-27,1538
2023-04-28,1536
2023-04-29,1534
2023-04-30,1533
2023-05-01,1532
2023-05-02,1530
2023-05-03,1527
2023-05-04,1523
2023-05-05,1518
2023-05-06,1516
2023-05-07,1514
2023-05-08,1511
2023-05-09,1506
2023-05-10,1500
2023-05-11,1494
2023-05-12,1488
2023-05-13,1482
2023-05-14,1480
2023-05-15,1475
2023-05-16,1468
2023-05-17,1462
2023-05-18,1457
2023-05-19,1452
2023-05-20,1448
2023-05-21,1446
2023-05-22,1443
2023-05-23,1438
2023-05-24,1435
2023-05-25,1431
2023-05-26,1429
2023-05-27,1425
2023-05-28,1424
2023-05-29,1423
2023-05-30,1422
2023-05-31,1420
2023-06-01,1415
2023-06-02,1412
2023-06-03,1409
2023-06-04,1408
2023-06-05,1407
2023-06-06,1406
2023-06-07,1404
2023-06-08,1402
2023-06-09,1401
2023-06-10,1399
2023-06-11,1398
2023-06-12,1398
2023-06-13,1396
2023-06-14,1394
2023-06-15,1392
2023-06-16,1391
2023-06-17,1389
2023-06-18,1389
2023-06-19,1388
2023-06-20,1387
2023-06-21,1386
2023-06-22,1385
2023-06-23,1385
2023-06-24,1384
2023-06-25,1383
2023-06-26,1383
2023-06-27,1382
2023-06-28,1382
2023-06-29,1381
2023-06-30,1381
2023-07-01,1379
2023-07-02,1379
2023-07-03,1379
2023-07-04,1379
2023-07-05,1378
2023-07-06,1378
2023-07-07,1379
2023-07-08,1379
2023-07-09,1379
2023-07-10,1380
2023-07-11,1381
2023-07-12,1383
2023-07-13,1384
2023-07-14,1387
2023-07-15,1389
2023-07-16,1390
2023-07-17,1392
2023-07-18,1394
2023-07-19,1396
2023-07-20,1399
2023-07-21,1402
2023-07-22,1403
2023-07-23,1404
2023-07-24,1407
2023-07-25,1411
2023-07-26,1415
2023-07-27,1419
2023-07-28,1425
2023-07-29,1431
2023-07-30,1434
2023-07-31,1439
2023-08-01,1450
2023-08-02,1460
2023-08-03,1472
2023-08-04,1484
2023-08-05,1496
2023-08-06,1502
2023-08-07,1512
2023-08-08,1527
2023-08-09,1539
2023-08-10,1548
2023-08-11,1559
2023-08-12,1568
2023-08-13,1573
2023-08-14,1581
2023-08-15,1589
2023-08-16,1595
2023-08-17,1601
2023-08-18,1606
2023-08-19,1609
2023-08-20,1611
2023-08-21,1614
2023-08-22,1618
2023-08-23,1621
2023-08-24,1622
2023-08-25,1624
2023-08-26,1625
2023-08-27,1626
2023-08-28,1628
2023-08-29,1630
2023-08-30,1631
2023-08-31,1632
2023-09-01,1635
2023-09-02,1636
2023-09-03,1637
2023-09-04,1638
2023-09-05,1640
2023-09-06,1642
2023-09-07,1644
2023-09-08,1646
2023-09-09,1648
2023-09-10,1649
2023-09-11,1652
2023-09-12,1655
2023-09-13,1658
2023-09-14,1660
2023-09-15,1664
2023-09-16,1668
2023-09-17,1669
2023-09-18,1672
2023-09-19,1677
2023-09-20,1680
2023-09-21,1683
2023-09-22,1685
2023-09-23,1687
2023-09-24,1688
2023-09-25,1690
2023-09-26,1692
2023-09-27,1694
2023-09-28,1696
2023-09-29,1697
2023-09-30,1698
2023-10-01,1698
2023-10-02,1699
2023-10-03,1699
2023-10-04,1701
2023-10-05,1701
2023-10-06,1700
2023-10-07,1698
2023-10-08,1697
2023-10-09,1697
2023-10-10,1696
2023-10-11,1695
2023-10-12,1694
2023-10-13,1692
2023-10-14,1691
2023-10-15,1690
2023-10-16,1690
2023-10-17,1689
2023-10-18,1688
2023-10-19,1687
2023-10-20,1686
2023-10-21,1686
2023-10-22,1685
2023-10-23,1685
2023-10-24,1684
2023-10-25,1683
2023-10-26,1682
2023-10-27,1680
2023-10-28,1679
2023-10-29,1678
2023-10-30,1678
2023-10-31,1676
2023-11-01,1674
2023-11-02,1671
2023-11-03,1669
2023-11-04,1667
2023-11-05,1666
2023-11-06,1665
2023-11-07,1662
2023-11-08,1659
2023-11-09,1654
2023-11-10,1649
2023-11-11,1644
2023-11-12,1642
2023-11-13,1639
2023-11-14,1634
2023-11-15,1629
2023-11-16,1625
2023-11-17,1620
2023-11-18,1617
2023-11-19,1615
2023-11-20,1613
2023-11-21,1606
2023-11-22,1604
2023-11-23,1599
2023-11-24,1595
2023-11-25,1592
2023-11-26,1590
2023-11-27,1588
2023-11-28,1584
2023-11-29,1581
2023-11-30,1578
2023-12-01,1575
2023-12-02,1572
2023-12-03,1571
2023-12-04,1568
2023-12-05,1564
2023-12-06,1559
2023-12-07,1554
2023-12-08,1550
2023-12-09,1545
2023-12-10,1544
2023-12-11,1540
2023-12-12,1534
2023-12-13,1529
2023-12-14,1524
2023-12-15,1520
2023-12-16,1516
2023-12-17,1515
2023-12-18,1512
2023-12-19,1508
2023-12-20,1506
2023-12-21,1504
2023-12-22,1503
2023-12-23,1502
2023-12-24,1501
2023-12-25,1501
2023-12-26,1500
2023-12-27,1499
2023-12-28,1498
2023-12-29,1497
2023-12-30,1495
2023-12-31,1495
2024-01-01,1493
2024-01-02,1492
2024-01-03,1490
2024-01-04,1488
2024-01-05,1487
2024-01-06,1485
2024-01-07,1484
2024-01-08,1484
2024-01-09,1482
2024-01-10,1481
2024-01-11,1479
2024-01-12,1477
2024-01-13,1476
2024-01-14,1475
2024-01-15,1475
2024-01-16,1474
2024-01-17,1473
2024-01-18,1473
2024-01-19,1472
2024-01-20,1472
2024-01-21,1471
2024-01-22,1472
2024-01-23,1472
2024-01-24,1473
2024-01-25,1474
2024-01-26,1476
2024-01-27,1479
2024-01-28,1479
2024-01-29,1482
2024-01-30,1485
2024-01-31,1488
2024-02-01,1492
2024-02-02,1494
2024-02-03,1496
2024-02-04,1496
2024-02-05,1498
2024-02-06,1501
2024-02-07,1503
2024-02-08,1504
2024-02-09,1507
2024-02-10,1508
2024-02-11,1508
2024-02-12,1509
2024-02-13,1511
2024-02-14,1514
2024-02-15,1517
2024-02-16,1521
2024-02-17,1523
2024-02-18,1524
2024-02-19,1527
2024-02-20,1530
2024-02-21,1531
2024-02-22,1533
2024-02-23,1534
2024-02-24,1535
2024-02-25,1535
2024-02-26,1536
2024-02-27,1537
2024-02-28,1537
2024-02-29,1538
2024-03-01,1538
2024-03-02,1538
2024-03-03,1539
2024-03-04,1540
2024-03-05,1540
2024-03-06,1540
2024-03-07,1540
2024-03-08,1540
2024-03-09,1540
2024-03-10,1539
2024-03-11,1540
2024-03-12,1539
2024-03-13,1539
2024-03-14,1539
2024-03-15,1538
2024-03-16,1538
2024-03-17,1538
2024-03-18,1538
2024-03-19,1537
2024-03-20,1538
2024-03-21,1538
2024-03-22,1538
2024-03-23,1537
2024-03-24,1537
2024-03-25,1538
2024-03-26,1538
2024-03-27,1538
2024-03-28,1538
2024-03-29,1538
2024-03-30,1538
2024-03-31,1538
2024-04-01,1539
2024-04-02,1540
2024-04-03,1540
2024-04-04,1541
2024-04-05,1543
2024-04-06,1545
2024-04-07,1546
2024-04-08,1549
2024-04-09,1552
2024-04-10,1553
2024-04-11,1554
2024-04-12,1556
2024-04-13,1557
