날짜,평균기온
2023-10-14,16.55
2023-10-15,17.2
2023-10-16,15.9
2023-10-17,15.0
2023-10-18,16.8
2023-10-19,18.5
2023-10-20,14.85
2023-10-21,12.25
2023-10-22,14.15
2023-10-23,14.95
2023-10-24,16.0
2023-10-25,17.35
2023-10-26,18.3
2023-10-27,14.05
2023-10-28,13.3
2023-10-29,13.7
2023-10-30,15.45
2023-10-31,16.5
2023-11-01,19.8
2023-11-02,22.1
2023-11-03,20.0
2023-11-04,17.45
2023-11-05,18.6
2023-11-06,17.35
2023-11-07,11.4
2023-11-08,10.95
2023-11-09,15.95
2023-11-10,10.55
2023-11-11,6.75
2023-11-12,6.25
2023-11-13,6.6
2023-11-14,8.4
2023-11-15,8.2
2023-11-16,8.55
2023-11-17,6.05
2023-11-18,4.75
2023-11-19,10.2
2023-11-20,8.45
2023-11-21,10.8
2023-11-22,13.4
2023-11-23,14.75
2023-11-24,4.25
2023-11-25,1.95
2023-11-26,5.4
2023-11-27,9.8
2023-11-28,5.7
2023-11-29,4.35
2023-11-30,0.9
2023-12-01,1.6
2023-12-02,4.45
2023-12-03,5.2
2023-12-04,5.2
2023-12-05,6.6
2023-12-06,9.25
2023-12-07,8.3
2023-12-08,14.05
2023-12-09,15.9
2023-12-10,12.7
2023-12-11,11.6
2023-12-12,6.7
2023-12-13,9.0
2023-12-14,9.9
2023-12-15,7.5
2023-12-16,0.85
2023-12-17,-4.6
2023-12-18,-2.5
2023-12-19,0.55
2023-12-20,-1.4
2023-12-21,-5.95
2023-12-22,-6.25
2023-12-23,-1.65
2023-12-24,0.9
2023-12-25,1.95
2023-12-26,3.5
2023-12-27,3.5
2023-12-28,4.0
2023-12-29,3.75
2023-12-30,4.65
2023-12-31,5.1
2024-01-01,4.2
2024-01-02,5.2
2024-01-03,4.85
2024-01-04,3.25
2024-01-05,6.65
2024-01-06,4.05
2024-01-07,0.7
2024-01-08,-0.95
2024-01-09,2.8
2024-01-10,2.7
2024-01-11,2.6
2024-01-12,5.3
2024-01-13,1.15
2024-01-14,6.05
2024-01-15,1.95
2024-01-16,2.65
2024-01-17,8.5
2024-01-18,7.05
2024-01-19,5.05
2024-01-20,4.4
2024-01-21,3.15
2024-01-22,-2.45
2024-01-23,-6.0
2024-01-24,-4.05
2024-01-25,-1.4
2024-01-26,1.55
2024-01-27,1.85
2024-01-28,2.05
2024-01-29,0.85
2024-01-30,2.25
2024-01-31,6.7
2024-02-01,3.15
2024-02-02,2.55
2024-02-03,4.0
2024-02-04,5.2
2024-02-05,3.5
2024-02-06,2.55
2024-02-07,1.25
2024-02-08,1.3
2024-02-09,1.8
2024-02-10,2.65
2024-02-11,2.8
2024-02-12,5.45
2024-02-13,11.3
2024-02-14,15.5
2024-02-15,5.1
2024-02-16,3.2
2024-02-17,8.45
2024-02-18,12.95
2024-02-19,10.05
2024-02-20,4.95
2024-02-21,4.5
2024-02-22,2.35
2024-02-23,2.15
2024-02-24,2.3
2024-02-25,3.1
2024-02-26,2.9
2024-02-27,4.45
2024-02-28,5.95
2024-02-29,5.15
2024-03-01,-0.1
2024-03-02,0.55
2024-03-03,4.5
2024-03-04,5.9
2024-03-05,5.7
2024-03-06,5.45
2024-03-07,3.9
2024-03-08,4.1
2024-03-09,2.85
2024-03-10,5.8
2024-03-11,8.1
2024-03-12,4.75
2024-03-13,6.65
2024-03-14,8.85
2024-03-15,11.3
2024-03-16,10.95
2024-03-17,10.0
2024-03-18,8.05
2024-03-19,8.45
2024-03-20,4.05
2024-03-21,4.7
2024-03-22,9.75
2024-03-23,11.9
2024-03-24,10.7
2024-03-25,9.6
2024-03-26,6.35
2024-03-27,10.25
2024-03-28,12.05
2024-03-29,11.85
2024-03-30,11.7
2024-03-31,11.2
2024-04-01,11.65
2024-04-02,12.9
2024-04-03,11.6
2024-04-04,11.55
2024-04-05,12.9
2024-04-06,14.45
2024-04-07,16.7
2024-04-08,16.0
2024-04-09,10.9
2024-04-10,13.25
2024-04-11,15.55
2024-04-12,17.7
2024-04-13,18.9
2024-04-14,19.35
2024-04-15,16.6
2024-04-16,16.1
2024-04-17,15.1
2024-04-18,15.15
2024-04-19,17.5
2024-04-20,14.5
2024-04-21,14.6
2024-04-22,15.7
2024-04-23,14.0
2024-04-24,12.3
2024-04-25,18.4
2024-04-26,18.75
2024-04-27,20.25
2024-04-28,17.3
2024-04-29,14.7
2024-04-30,13.7
2024-05-01,13.7
2024-05-02,16.35
2024-05-03,18.8
2024-05-04,20.35
